Institutions;Sector;ESA10 category;Classification applies from;Date classified on the PSCG;Notes;
Blackpool Grand Theatre Trust Ltd;Local Government;S.1313;;;;
Blackpool Operating Company Ltd;Local Government;S.1313;;;;
Blackpool Town Centre Forum Ltd;Local Government;S.1313;;;;
Blackpool Transport Services Ltd;Public Non-Financial Corporation;S.11001;;;;
Blaenau Gwent County Borough Council;Local Government;S.1313;;;;
Blyth Harbour Commissioners;Public Non-Financial Corporation;S.11001;;;;
Blyth Valley Housing Ltd;Former Public Corporation;S.11001;;;;
BNFL (IP) Ltd (s. BNFL);Public Non-Financial Corporation;S.11001;;;;
BNFL Engineering Ltd - (s BNFL);Former Public Corporation;S.11001;;;;
BNFL Enrichment Ltd - (BNFL);Former Public Corporation;S.11001;1-Dec-09;Jan-13;;
BNFL Enterprise - (s BNG / BNFL);Public Non-Financial Corporation;S.11001;;;;
BNFL Interim Storage Ltd - (s BNFL);Former Public Corporation;S.11001;;;;
BNFL Properties Limited - (s BNG / BNFL);Public Non-Financial Corporation;S.11001;;;;
Boards of Visitors and Visiting Committees (Northern Ireland);Central Government;S.1311;;;;
Boards of Visitors to Penal Establishments;Central Government;S.1311;;;;
Bognor Regis Ltd;Local Government;S.1313;;;;
Bolsover District Council;Local Government;S.1313;;;;
Bolton at Home Ltd;Former Public Corporation;S.11001;1-Mar-11;Jul-13;;
Bolton Council;Local Government;S.1313;;;;
Booth & Fisher (Motor Services) Ltd - (s SYPTE);Former Public Corporation;S.11001;17-Jun-05;Sep-13;;
Bòrd na Gàidhlig;Central Government;S.1311;;;;
Borough of Broxbourne;Local Government;S.1313;;;;
Borough of Poole;Local Government;S.1313;;;;
Boston Borough Council;Local Government;S.1313;;;;
Boston Port;Local Government;S.1313;;;;
Botanics Trading Company Ltd;Public Non-Financial Corporation;S.11001;;;;
Boundary Commission for Northern Ireland;Central Government;S.1311;;;;
Boundary Commission for Scotland;Central Government;S.1311;;;;
Boundary Committee for England;Former Central Government;S.1311;;;;
Bournemouth Airport Property Investments (Industrial) Ltd;Public Non-Financial Corporation/Public Non-Financial Corporation (see notes in tab);S.11001/3;1-Feb-13;Jun-15;;
Bournemouth Airport Property Investments (Offices) Ltd;Public Non-Financial Corporation/Public Non-Financial Corporation (see notes in tab);S.11001/3;1-Feb-13;Jun-15;;
Bournemouth Borough Council;Local Government;S.1313;;;;
Bournemouth International Airport Ltd (s MA);Public Non-Financial Corporation/Public Non-Financial Corporation (see notes in tab);S.11001/3;1-Feb-13;Jun-15;;
Bournemouth Transport Ltd;Former Public Corporation;S.11001;;;;
BPE Mechanical and Electrical Engineering Consultancy;Former Public Corporation;S.11001;;;;
BPEX Ltd;Central Government;S.1311;;;;
BPL Holdings Ltd (Formerly Plasma Resources UK Ltd);Former Public Corporation;S.11001;1-Jul-13;May-14;;
BR Property Board (s BRB);Former Public Corporation;S.11001;;;;
Bracknell - (s NTC);Former Central Government;S.1311;;;;
Bracknell Forest Borough Council;Local Government;S.1313;;;;
Bradford & Bingley Pension Scheme;Public Pension Fund;S.12901;29-Sep-08;Feb-16;Bradford & Bingley plc is a public limited company and primarily operates as a servicer of mortgage loans secured on residential properties and of associated services. Following the financial crisis it transferred into public ownership and is currently classified in Central Government. Bradford & Bingley and its subsidiaries operated a defined benefit pension scheme, which entered into a Crown Guarantee on 29 September 2008. ONS assessed the Bradford & Bingley crown guarantee arrangement in accordance with internationally agreed rules in the European System of Accounts 2010 (ESA 2010) and accompanying Manual on Government Deficit and Debt 2014 (MGDD 2014). ONS concluded that (i) the Bradford & Bingley Pension Scheme was the pension administrator in the public pension fund (S.12901) and (ii) HM Treasury was the scheme’s pensioner manager in the central government subsector (S.1311). This means any difference between the pension entitlements and the assets held by the Scheme will be attributed to the central government subsector as an asset/liability.;
Bradford & Bingley plc;Central Government;S.1311;1-Jul-10;Sep-12;;
Bradford Film Limited;Central Government;S.1311;1-Apr-10;May-12;;
Bradford Metropolitan District Council;Local Government;S.1313;;;;
Braintree District Council;Local Government;S.1313;;;;
BRB (Residuary) Ltd.;Former Public Corporation;S.11001;;;Created in 2001 as a limited company wholly owned by DfT to manage the majority of the remaining property, rights and liabilities of the British Railways Board. The body was abolished in September 2013 using powers from the Public Bodies Act 2011.;
Breckland Council;Local Government;S.1313;;;;
Brecon Beacons National Park Authority;Local Government;S.1313;1-Nov-95;Sep-12;;
Brentwood Borough Council;Local Government;S.1313;;;;
Bridgend County Borough Council;Local Government;S.1313;;;;
Bridlington Pier and Harbour Commissioners;Public Non-Financial Corporation;S.11001;;;;
Bridport Port;Local Government;S.1313;;;;
Brighton and Hove City Council;Local Government;S.1313;;;;
Brighton Buses Ltd;Former Public Corporation;S.11001;;;;
Bristol Airport;Former Public Corporation;S.11001;;;;
Bristol City Council;Local Government;S.1313;;;;
Bristol Development Corporation;Former Public Corporation;S.11001;;;;
Bristol Port;Local Government;S.1313;;;;
Bristol, Gloucestershire, Somerset & Wiltshire Community Rehabilitation Company (CRC);Former Central Government;S.1311;1-Feb-15;Mar-15;;
British Airports Authority;Former Public Corporation;S.11001;;;;
British Airways;Former Public Corporation;S.11001;;;;
British Antarctic Survey;Central Government;S.1311;;;;
British Association for Central & Eastern Europe;Former Central Government;S.1311;;;;
British Board of Agrement;Former Central Government;S.1311;;;;
British Broadcasting Corporation - (BBC);Central Government;S.1311;;;;
British Business Bank PLC;Central Government;S.1311;1-Jul-13;May-15;;
British Coal (Mines);Former Public Corporation;S.11001;;;;
British Coal Corporation;Former Public Corporation;S.11001;;;;
British Coal Staff Superannuation Scheme;Public Pension Fund;S.12901;31-Oct-94;Apr-16;The British Coal Staff Superannuation Scheme provides pensions and other benefits to former employees of the British Coal Corporation under a defined benefit scheme. The Scheme entered into a Crown Guarantee on 31 October 1994.  It was closed to new members at the end of October 1994 following the privatisation of the British Coal Corporation.  ONS assessed the  British Coal Corporation crown guarantee arrangement in accordance with internationally agreed rules in the European System of Accounts 2010 (ESA 2010) and accompanying Manual on Government Deficit and Debt 2014 (MGDD 2014). ONS concluded that (i) the British Coal Staff Superannuation Scheme was the pension administrator in the public pension fund subsector (S.12901) and (ii) the Secretary of State for the Department for Energy and Climate Change was the pension manager in the central government subsector (S.1311). This means any difference between the pension entitlements and the assets held by the Scheme will be attributed to the central government subsector as an asset/liability.;
British Council;Public Non-Financial Corporation;S.11001;;;;
British Educational Communications and Technology Agency (BECTA);Former Central Government;S.1311;1-Mar-11;Sep-11;;
British Electricity Authority;Former Public Corporation;S.11001;;;;
British Energy;Former Public Corporation;S.11001;;;;
British European Airways;Former Public Corporation;S.11001;;;;
British Film Commission;Central Government;S.1311;;;;
British Film Institute;Central Government;S.1311;;;;
British Forces Post Office;Former Central Government;S.1311;1-Apr-07;Mar-11;;
British Fuels;Former Public Corporation;S.11001;;;;
British Fuels (Ireland) Ltd;Former Public Corporation;S.11001;1-Dec-07;Aug-11;;
British Fuels Distributors Ltd;Former Public Corporation;S.11001;1-Jan-02;Aug-11;;
British Gas;Former Public Corporation;S.11001;;;;
British Geological Survey;Central Government;S.1311;;;;
British Government Panel on Sustainable Development;Former Central Government;S.1311;;;;
British Hallmarking Council;Central Government;S.1311;27-May-05;Feb-12;;
British Library;Central Government;S.1311;;;;
British Museum;Central Government;S.1311;;;;
British Museum Company Ltd;Public Non-Financial Corporation;S.11001;;;;
British National Oil Company;Former Public Corporation;S.11001;;;;
British Nuclear Fuels plc (BNFL);Public Non-Financial Corporation;S.11001;;;;
British Nuclear Group Ltd. (s. BNFL);Public Non-Financial Corporation;S.11001;;;;
British Nuclear Group Project Services Ltd. (s. BNG / BNFL);Former Public Corporation;S.11001;;;;
British Nuclear Group Sellafield Ltd. (s. BNG / BNFL);Public Non-Financial Corporation;S.11001;;;;
British Nuclear Services Ltd. (s. BNG / BNFL);Public Non-Financial Corporation;S.11001;;;;
British Overseas Trade Board;Former Central Government;S.1311;;;;
British Pharmacopoeia Commission;Central Government;S.1311;;;;
British Potato Council;Former Central Government;S.1311;;;;
British Railways Board - (BRB);Former Public Corporation;S.11001;;;;
British Screen Finance Limited;Public Non-MMF Investment Funds;S.12401;2-May-85;Feb-16;British Screen Finance Limited (BSFL) is an institutional unit engaged in financial activity. It was classified by the ONS in 2005 as a public corporation. At the time ONS did not distinguish between public financial corporations and public non-financial corporations.  Its parent is the British Film Institute which is classified as a central government unit. ONS formally reviewed the classification of the body, to see whether under European System of Accounts 2010 (ESA 2010) and accompanying Manual on Government Deficit and Debt 2014 (MGDD 2014) it should be classified as a public financial corporation or a central government body. It was concluded that it was a public financial corporation with effect from 1985.;
British Shipbuilders;Former Central Government;S.1311;1-Mar-12;Apr-13;;
British Tourist Authority;Former Central Government;S.1311;;;;
British Transport Police (sSRA);Former Central Government;S.1311;;;;
British Transport Police Authority;Central Government;S.1311;;;;
British Waterways Board - (BWB);Former Public Corporation;S.11001;;;;
British Waterways Pension Trustees Ltd - (s BWB);Public Non-Financial Corporation;S.11001;;;;
British Wool Marketing Board;Public Non-Financial Corporation;S.11001;11-May-05;Sep-10;;
Brixham Port;Local Government;S.1313;;;;
Broadcasters Audience Research Board Ltd (50%) (sBBCW) (Associate);Public Non-Financial Corporation;S.11001;;;;
Broadcasting Complaints Commission;Former Central Government;S.1311;;;;
Broadcasting Data services Ltd;Former Public Corporation;S.11001;;;;
Broadcasting Standards Commission;Former Central Government;S.1311;;;;
Broadland District Council;Local Government;S.1313;;;;
Broadmoor Special Hospital Authority;Former Central Government;S.1311;;;;
Broads Authority;Local Government;S.1311;1-Jun-88;Sep-12;;
Bromsgrove District Council;Local Government;S.1313;;;;
Brownies Taing (Lerwick);Former Public Non-Financial Corporation;S.11001;2-Dec-15;Oct-16;In accordance with internationally agreed rules in the Europeans System of Accounts 2010 (ESA2010) and accompanying Manual on Government Deficit and Debt 2016 (MGDD 2016), ONS has reviewed the classification of Scottish Trust Ports. Based on provisions contained within the Ports Act 1991, these were previously classified as public non-financial corporations (S.11001). The Scottish Government introduced new legislation in 2015 (the Harbours (Scotland) Act) to repeal sections of the Ports Act 1991 with a view to removing public sector control of Scottish Trust Ports. Following consideration of this legislation, ONS concluded that the Scottish Trust Ports are no longer subject to public sector controls. Scottish Trust Ports are now classified as private non-financial corporations, with this decision effective from 2 December 2015.;
Broxtowe Borough Council;Local Government;S.1313;;;;
Buckie Port;Local Government;S.1313;;;;
Buckinghamshire County Council;Local Government;S.1313;;;;
Bude Port;Local Government;S.1313;;;;
Building Regulations Advisory Committee;Central Government;S.1311;;;;
Building Societies Commission;Central Government;S.1311;;;;
Building Standards Advisory Committee;Former Central Government;S.1311;1-Jul-10;Sep-11;;
Burghead Port;Local Government;S.1313;;;;
Burnley Borough Council;Local Government;S.1313;;;;
Burnmouth Harbour;Former Public Non-Financial Corporation;S.11001;2-Dec-15;Oct-16;In accordance with internationally agreed rules in the Europeans System of Accounts 2010 (ESA2010) and accompanying Manual on Government Deficit and Debt 2016 (MGDD 2016), ONS has reviewed the classification of Scottish Trust Ports. Based on provisions contained within the Ports Act 1991, these were previously classified as public non-financial corporations (S.11001). The Scottish Government introduced new legislation in 2015 (the Harbours (Scotland) Act) to repeal sections of the Ports Act 1991 with a view to removing public sector control of Scottish Trust Ports. Following consideration of this legislation, ONS concluded that the Scottish Trust Ports are no longer subject to public sector controls. Scottish Trust Ports are now classified as private non-financial corporations, with this decision effective from 2 December 2015.;
Burry Port;Local Government;S.1313;;;;
Bury Metropolitan Borough Council;Local Government;S.1313;;;;
Business Advisory Committee on Telecommunications;Former Central Government;S.1311;;;;
Business and Technology Education Council;Former Central Government;S.1311;;;;
Buying Agency, The;Former Public Corporation;S.11001;;;;
Buying Solutions;Former Central Government;S.1311;;;;
Cabinet Office;Central Government;S.1311;;;;
CADCAM Applications Training and Support Limited;Local Government;S.1313;;;;
Cadw (Welsh Historic Monuments);Former Central Government;S.1311;;;;
Caernarvon Harbour Trustees;Public Non-Financial Corporation;S.11001;;;;
Caerphilly County Borough Council;Local Government;S.1313;;;;
Cairngorms National Park Authority;Local Government;S.1313;1-Mar-03;;;
Calderdale Metropolitan Borough Council;Local Government;S.1313;;;;
Caledonian MacBrayne (HR) UK Ltd;Former Public Corporation;S.11001;1-Nov-07;Apr-11;;
Caledonian MacBrayne Ltd;Former Public Corporation;S.11001;1-Oct-06;Mar-11;;
Caledonian Maritime Assets Ltd;Public Non-Financial Corporation;S.11001;;;;
CalMac Ferries Ltd;Public Non-Financial Corporation;S.11001;;;;
Cambridge City Council;Local Government;S.1313;;;;
Cambridgeshire County Council;Local Government;S.1313;;;;
Camden ITEC;Local Government;S.1313;;;;
Camden Mediation Service;Local Government;S.1313;;;;
Campbeltown Port;Local Government;S.1313;;;;
Canal & River Trust;Public Non-Financial Corporation;S.11001;2-Jul-12;Sep-15;The British Waterways Board (BWB) was restructured on 2nd July 2012, and its English and Welsh operations transferred to a new charity called the Canal & River Trust (CRT). In accordance with the European System of Accounts 2010 (ESA 2010) and the accompanying 2014 Manual on Government Deficit and Debt (MGDD 2014), it was judged that the Canal & River Trust is a market body because there is sufficient evidence to suggest it charges economically significant prices and passes the quantitative market test. The Canal & River Trust is judged to be under government control in particular through the provisions of enabling instruments whereby the Secretary of State for the Environment and Rural Affairs has the power to approve or deny certain corporate decisions (e.g. dissolution). The Canal & River Trust is therefore classified as a public non-financial corporation (S.11001).;
Cannock Chase District Council;Local Government;S.1313;;;;
Canterbury City Council;Local Government;S.1313;;;;
Capital for Enterprise Limited;Former Central Government;S.1311;1-Oct-13;Jun-16;Capital for Enterprise Limited was the government's main delivery agency for financial interventions for small and medium sized enterprises. It ceased operating independently on 1 October 2013 and became part of the British Business Bank. This was identified as part of a quality review of bodies identified on the guide.;
Cardiff and Vale University Health Board;Central Government;S.1311;1-Jun-09;Mar-11;;
Cardiff Bay Development Corporation;Former Public Corporation;S.11001;;;;
Cardiff City Transport Services Ltd;Public Non-Financial Corporation;S.11001;;;;
Cardiff Council;Local Government;S.1313;;;;
Cardiff International Airport Ltd;Public Non-Financial Corporation;S.11001;1-Mar-13;May-13;;
Care Council for Wales;Central Government;S.1311;;;;
Care Quality Commission;Central Government;S.1311;;;;
Careers Scotland;Former Central Government;S.1311;1-Apr-08;Dec-14;;
Careers Wales Association Ltd;Central Government;S.1311;1-Apr-13;Aug-13;;
Careers Wales Cardiff and Vale Ltd;Central Government;S.1311;1-Apr-13;Aug-13;;
Careers Wales Dewis Gyrfa Ltd;Central Government;S.1311;1-Apr-13;Aug-13;;
Careers Wales Mid Glamorgan and Powys Ltd;Central Government;S.1311;1-Apr-13;Aug-13;;
Careers Wales West - Gyrda Cymru Gorllewin Ltd;Central Government;S.1311;1-Apr-13;Aug-13;;
Carlisle (Crosby) Aerodrome;Local Government;S.1313;;;;
Carlisle City Council;Local Government;S.1313;;;;
Carmarthen Port;Local Government;S.1313;;;;
Carmarthenshire County Council;Local Government;S.1313;;;;
Carrick Housing Ltd;Former Public Corporation;S.11001;1-Apr-10;Jul-13;;
Cart River Port (Paisley);Local Government;S.1313;;;;
Castle Point Borough Council;Local Government;S.1313;;;;
Causeway Coast and Glens District Council;Local Government;S.1313;;;;
CCTA- The Government Centre for Information Systems;Former Central Government;S.1311;;;;
CEEP UK;Central Government;S.1311;;;;
Cellardyke Port;Local Government;S.1313;;;;
Central Adjudication Services;Former Central Government;S.1311;;;;
Central Advisory Committee on Justices of the Peace (Scotland);Central Government;S.1311;;;;
Central Advisory Committee on Pensions and Compensation;Central Government;S.1311;;;;
Central Arbitration Committee;Central Government;S.1311;;;;
Central Bedfordshire Council;Local Government;S.1313;;;;
Central Council for Education and Training in Social Work (UK);Former Central Government;S.1311;;;;
Central Electricity Generating Board;Former Central Government;S.1311;;;;
Central Fire Brigades Advisory Council;Former Central Government;S.1311;;;;
Central Laboratory of the Research Councils;Former Central Government;S.1311;1-Apr-07;Aug-11;;
Central Lancashire - (s NTC);Former Central Government;S.1311;;;;
Central Manchester Development Corporation;Former Public Corporation;S.11001;;;;
Central Office of Information;Former Public Corporation;S.11001;1-May-12;Jun-12;;
Central Police Training and Development Authority;Former Central Government;S.1311;;;;
Central Rail Users Consultative Committee (CRUCC);Former Central Government;S.1311;;;;
Central Science Laboratory;Former Central Government;S.1311;1-Apr-09;Jun-16;Central Science Laboratory was a government research laboratory for food, environmental and agricultural sciences. It became a part of Food and Environment Research Agency on 1 April 2009. This was listed as part of a quality review of bodies identified on the guide.;
Central Scotland Fire Board;Former Local Government;S.1313;27-Jun-05;Dec-10;;
Centre for Ecology and Hydrology;Central Government;S.1311;;;;
Centre for Environment Fisheries and Aquaculture Science Technology Ltd;Public Non-Financial Corporation;S.11001;;;;
Centre for Environment, Fisheries and Aquaculture Science (CEFAS);Central Government;S.1311;19-Jun-05;Mar-12;;
Centre for Management and Policy Studies;Former Central Government;S.1311;;;;
Centre House Productions Ltd (CHP) - (s BBC);Public Non-Financial Corporation;S.11001;;;;
Ceredigion County Council;Local Government;S.1313;;;;
Chamberlain of London;LG Funds, Accounts, Courts and Posts;S.1313;;;;
Chancellor of the Duchy of Lancaster;CG Funds, Accounts, Courts and Posts;S.1311;;;;
Channel Four International Ltd - (s C4);Former Public Corporation;S.11001;1-Nov-07;May-12;;
Channel Four Learning Ltd - (s C4);Former Public Corporation;S.11001;1-Jun-00;May-12;;
Channel Four Television Company Ltd - (s C4);Former Public Corporation;S.11001;1-Dec-92;May-12;;
Channel Four Television Corporation Ltd (C4);Public Non-Financial Corporation;S.11001;;;;
Channel Tunnel Rail Link Limited;Former Public Corporation;S.11001;;Mar-12;;
Charities Advisory Committee;Central Government;S.1311;;;;
Charity Commission for England and Wales;Central Government;S.1311;;;;
Charity Commission of Northern Ireland;Central Government;S.1311;1-Jun-09;Nov-10;;
Charnwood Borough Council;Local Government;S.1313;;;;
Charnwood Neighbourhood Housing Ltd;Former Public Corporation;S.11001;1-Nov-12;Jul-13;;
Chelmsford City Council;Local Government;S.1313;;;;
Cheltenham Borough Council;Local Government;S.1313;;;;
Cheltenham Borough Homes Ltd;Public Non-Financial Corporation;S.11001;;;;
Chepstow Port;Local Government;S.1313;;;;
Chequers Trust;Central Government;S.1311;;;;
Cherwell District Council;Local Government;S.1313;;;;
Cheshire & Greater Manchester Community Rehabilitation Company (CRC);Former Central Government;S.1311;1-Feb-15;Mar-15;;
Cheshire East Council;Local Government;S.1313;;;;
Cheshire West and Chester Council;Local Government;S.1313;;;;
Chester City Transport Ltd;Former Public Corporation;S.11001;;;;
Chesterfield Borough Council;Local Government;S.1313;;;;
Chevening Estate/Trust;Central Government;S.1311;;;;
Chichester District Council;Local Government;S.1313;;;;
Chichester Harbour Conservancy Board;Public Non-Financial Corporation;S.11001;;;;
Chief Electoral Officer for Northern Ireland;Central Government;S.1311;;;;
Chief Executive of Skills Funding;Central Government;S.1311;;;;
Child Care Law Review Body;Former Central Government;S.1311;;;;
Child Maintenance and Enforcement Commission (CMEC);Former Central Government;S.1311;1-Aug-12;Mar-13;;
Child Support Agency;Former Central Government;S.1311;1-Nov-08;Mar-11;;
Child Support Appeal Tribunals;Former Central Government;S.1311;;;;
Children and Family Court Advisory and Support Service (CAFCASS);Central Government;S.1311;;;;
Children’s Commissioner for Wales;Central Government;S.1311;;;;
Children's Panels Advisory Committee (reclassified from CG in 98q3);Local Government;S.1313;;;;
Children's Trust Boards (En Bloc);Local Government;S.1313;;;;
Children's Workforce Development Council;Former Central Government;S.1311;1-Jun-12;Jul-12;;
Chiltern District Council;Local Government;S.1313;;;;
Chorley Council;Local Government;S.1313;;;;
Christchurch Borough Council;Local Government;S.1313;;;;
Churches Conservation Trust;Central Government;S.1311;;;;
City Academies (En Bloc);Former Central Government;S.1311;;;;
City Airport Rail Enterprises (Holdings) Limited;Local Government;S.1313;1-Nov-11;Feb-14;;
City Airport Rail Enterprises Plc;Local Government;S.1313;1-Nov-11;Feb-14;;
City and County of Swansea;Local Government;S.1313;;;;
City Colleges for the Technology of the Arts (En Bloc);Central Government;S.1311;1-Jul-88;Jul-10;;
City of Dundee District Council Launderette;Local Government;S.1313;;;;
City of Edinburgh District Council Market;Local Government;S.1313;;;;
City of Glasgow District Council Market;Local Government;S.1313;;;;
City of Lincoln Council;Local Government;S.1313;;;;
City of London Corporation;Local Government;S.1313;;;;
City of London Police;Local Government;S.1313;;;;
City of York Council;Local Government;S.1313;;;;
City Technology Colleges (En Bloc);Central Government;S.1311;1-May-10;Jul-10;;
CityWest Homes Ltd;Public Non-Financial Corporation;S.11001;;;;
Citybus Ltd - (s NITHC);Public Non-Financial Corporation;S.11001;;;;
Civil Aviation Authority (CAA);Public Non-Financial Corporation;S.11001;;;;
Civil Aviation Authority International Ltd (CAA International Ltd);Public Non-Financial Corporation;S.11001;1-Nov-00;Oct-13;;
Civil Justice Council;Central Government;S.1311;;;;
Civil Nuclear Police Authority (including Civil Nuclear Constabulary);Central Government;S.1311;1-Apr-05;Aug-11;;
Civil Procedure Rule Committee;Central Government;S.1311;;;;
Civil Service Annuities Assurance Society, The;Former Public Financial Corporation;S.12801;1-May-03;Oct-13;;
Civil Service Appeal Board;Central Government;S.1311;;;;
Civil Service Arbitration Tribunal;Central Government;S.1311;;;;
Civil Service Commission;Central Government;S.1311;1-Nov-10;Nov-10;;
Civil Service Occupational Health and Safety Agency;Former Central Government;S.1311;;;;
Clackmannanshire Council;Local Government;S.1313;;;;
CLIK (Central Laboratory Innovation and Knowledge Transfer Co.Ltd);Former Public Corporation;S.11001;;;;
Clinical Commissioning Groups (En Bloc);Central Government;S.1311;1-Apr-13;Mar-13;;
Clinical Engineering and Medical Physics Services Advisory Committee;Former Central Government;S.1311;;;;
Clinical Imaging Services Advisory Committee;Former Central Government;S.1311;;;;
Clinical Standards Advisory Group;Former Central Government;S.1311;;;;
Clinical Standards Board for Scotland (The);Former Central Government;S.1311;1-Jan-03;Jan-13;;
Clothing and Allied Products Industry Training Board;Former Central Government;S.1311;;;;
Clothing and Industry Training Boards (NI);Former Central Government;S.1311;;;;
Clydebank Municipal Bank Ltd;Public Financial Corporation;S.12501;;Jul-12;;
CNC Building Control Consultancy Joint Committee;Public Non-Financial Corporation;S.11001;;;;
Coal Authority;Central Government;S.1311;;;;
Coal Developments (Queensland) Ltd - (s BCC);Former Public Corporation;S.11001;;;;
Coal Industry Estates Ltd - (s BCC);Former Public Corporation;S.11001;;;;
Coal Industry Patents Ltd - (s BCC);Former Public Corporation;S.11001;;;;
Coastguard;Former Central Government;S.1311;;;;
Colchester Borough Council;Local Government;S.1313;;;;
Colchester Borough Homes Ltd;Public Non-Financial Corporation;S.11001;;;;
Colchester Port;Local Government;S.1313;;;;
Coleraine District Policing Partnership;Local Government;S.1313;;;;
Coleraine Harbour Commissioners;Public Non-Financial Corporation;S.11001;;;;
Coll Aerodrome;Local Government;S.1313;;;;
College of Arms;Former Central Government;S.1311;;;;
College of Policing;Central Government;S.1311;1-Feb-13;Feb-13;;
Colleges of Further Education (Scotland) (En Bloc);Central Government;S.1311;1-Apr-93;Oct-10;;
Collieston Harbour;Former Public Non-Financial Corporation;S.11001;2-Dec-15;Oct-16;In accordance with internationally agreed rules in the Europeans System of Accounts 2010 (ESA2010) and accompanying Manual on Government Deficit and Debt 2016 (MGDD 2016), ONS has reviewed the classification of Scottish Trust Ports. Based on provisions contained within the Ports Act 1991, these were previously classified as public non-financial corporations (S.11001). The Scottish Government introduced new legislation in 2015 (the Harbours (Scotland) Act) to repeal sections of the Ports Act 1991 with a view to removing public sector control of Scottish Trust Ports. Following consideration of this legislation, ONS concluded that the Scottish Trust Ports are no longer subject to public sector controls. Scottish Trust Ports are now classified as private non-financial corporations, with this decision effective from 2 December 2015.;
Combined Authorities in England;Local Government;S.1313;12-Nov-09;Jun-19;Combined Authorities (CAs) are the bodies formed by two or more local authorities wishing to work more closely together to make collective decisions on key policy areas such as economic development, transport, skills, health and social care. ONS has assessed the classification status of CAs and has concluded that they are subject to public sector control as their corporate policy is determined by government and the majority of their members must be councillors appointed by the councils representing the respective local authorities. The assessment also concluded that as all CAs are funded almost entirely by non-competitive grants from government, they are not market producers. As all CAs are formed under the Local Democracy, Economic Development and Construction Act 2009 (the 2009 Act), they have been classified en-bloc to the Local Government subsector (S.1313) with effect from 12 November 2009, the date the 2009 Act received Royal Assent.;
Combined Courts (En Bloc);CG Funds, Accounts, Courts and Posts;S.1311;;;;
Comhaire nan Eilean Siar Council;Local Government;S.1313;;;;
Commission for Architecture and the Built Environment;Former Central Government;S.1311;1-Apr-11;Sep-11;;
Commission for Health Improvement;Former Central Government;S.1311;;;;
Commission for Integrated Transport;Former Central Government;S.1311;;;;
Commission for Judicial Appointments (Scotland);Central Government;S.1311;;;;
Commission for Local Administration;Central Government;S.1311;;;;
Commission for Local Administration in Wales;Central Government;S.1311;;;;
Commission for New Towns;Former Central Government;S.1311;;;;
Commission for Patient and Public Involvement in Health;Former Central Government;S.1311;1-Jun-08;Mar-12;;
Commission for Racial Equality;Former Central Government;S.1311;;;The Commission for Racial Equality merged with the Equal Opportunities Commission and the Disability Rights Commission to form a new Equality and Human Rights Commission in October 2007.;
Commission for Rural Communities;Former Central Government;S.1311;31-Mar-13;Nov-17;The Commission for Rural Communities's statutory purpose was to promote awareness of rural social and economic needs amongst decision makers across and beyond government. The Public Bodies (Abolition of the Commission for Rural Communities) Order 2012 abolished the CRC on 31 March 2013, following an external consultation.                          ;
Commission for Social Care Inspection for England (CSCI);Former Central Government;S.1311;1-Mar-09;Jan-11;;
Commission for the New Economy Ltd;Local Government;S.1313;;;;
Commission for Victims and Survivors;Central Government;S.1311;1-May-08;Mar-12;;
Commissioner for Ethical Standards in Public Life in Scotland;Central Government;S.1311;1-Apr-11;Oct-11;;
Commissioner for Protection against Unlawful Industrial Action;Former Central Government;S.1311;;;;
Commissioner for the Rights of Trade Union Members;Former Central Government;S.1311;;;;
Commissioner of the Metropolis (Metropolitan Police Force);Local Government;S.1313;1-Jan-12;May-12;;
Commissioners of Irish Lights, The;Central Government;S.1311;29-Apr-05;Dec-11;;
Commissioners of Taxes for the City of London;Local Government;S.1313;;;;
Committee for Monitoring Agreements On Tobacco Advertising Sponsorship;Central Government;S.1311;;;;
Committee of Investigation for Great Britain;Former Central Government;S.1311;;;;
Committee on Agricultural Valuation;Former Central Government;S.1311;23-Apr-14;Nov-17;The role of the Committee on Agricultural Valuation was to give advice to Ministers about provisions to be included in regulations on tenant-right matters and the amount of compensation for improvements to be paid to tenants at the end of an agricultural tenancy in England and Wales. It had not functioned for over 20 years and was therefore dissolved under The Public Bodies (Abolition of the Committee on Agricultural Valuation) Order 2014 on 23 April 2014;
Committee on Appeals Criteria and Miscarriages of Justice;Former Central Government;S.1311;;;;
Committee on Carcinogenicity of Chemicals in Food, Consumer Products and the Environment;Central Government;S.1311;;;;
Committee on Climate Change;Central Government;S.1311;;;;
Committee on Medical Aspects of Food and Nutrition Policy;Former Central Government;S.1311;;;;
Committee on Medical Aspects of Radiation in the Environment;Central Government;S.1311;;;;
Committee on Mutagenicity of Chemicals in Food, Consumer Products and the Environment;Central Government;S.1311;;;;
Committee on Products and Processes for use in Public Water Supply;Former Central Government;S.1311;;;;
Committee on Standards in Public Life;Central Government;S.1311;;;;
Committee on the Medical Effects of Air Pollutants (DH);Central Government;S.1311;;;;
Committee on the Safety of Medicines;Central Government;S.1311;;;;
Committee on Toxicity of Chemicals in food, Consumer Products and the Environment;Central Government;S.1311;;;;
Committees for the Employment of Disabled People;Former Central Government;S.1311;;;;
Common Services Agency of the Scottish Health Service (NHS National Services Scotland Board);Central Government;S.1311;;;;
Commons Commissioners;Former Central Government;S.1311;;;;
Commonwealth Development Corporation;Public Financial Corporation;S.12;;;;
Commonwealth Parliamentary Association (UK) Branch;Central Government;S.1311;1-Dec-02;Feb-11;;
