Institutions;Sector;ESA10 category;Classification applies from;Date classified on the PSCG;Notes;;;;;;;;
Beacon Waste Ltd;Amsterdam;NL;Central Government;S.1311;;;;;;;;;
Beaumaris Port;GOTEBORG;SE;Local Government;S.1313;;;;;;;;;
Bedford Borough Council;GOTEBORG;SE;Former Central Government;S.1311;1-Apr-02;Nov-11;;;;;;;
Bedfordshire, Cambridgeshire, Hertfordshire and Northamptonshire Community Rehabilitation Company (CRC);GOTEBORG;SE;Local Government;S.1313;;;;;;;;;
Beeches Road Community Enterprise Ltd;ASKIM;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
Beef Assurance Scheme Membership Panel;ASKIM;SE;Central Government;S.1311;1-Jun-09;Mar-11;;;;;;;
Belfast Airport;Former Central Government;S.1311;;;;;;;;;;;
Belfast City Council;Goteborg;SE;Local Government;S.1313;;;;;;;;;
Belfast Education and Library Board;Goteborg;SE;Central Government;S.1311;;;;;;;;;
Belfast Harbour Commissioners;Goteborg;SE;Former Central Government;S.1311;1-Jan-16;Feb-16;ONS has reviewed the classification of Big Society Trust following the revision of the company’s Articles of Association. ONS has considered the changes made in the Articles of Association and concluded that the residual controls that government had on BST have been removed. Big Society Trust is now classified as a private non-profit institution; as is the Big Society Foundation. Big Society Capital is now classified in the captive financial institutions and money lenders subsector (S.127). This decision is effective from January 2016.;;;;;
Belfast Health and Social Care Trust;Goteborg;SE;Former Central Government;S.1311;1-Jan-16;Feb-16;ONS has reviewed the classification of Big Society Trust following the revision of the company’s Articles of Association. ONS has considered the changes made in the Articles of Association and concluded that the residual controls that government had on BST have been removed. Big Society Trust is now classified as a private non-profit institution; as is the Big Society Foundation. Big Society Capital is now classified in the captive financial institutions and money lenders subsector (S.127). This decision is effective from January 2016.;;;;;
Belgrade Theatre;Former Central Government;S.1311;1-Jan-16;Feb-16;ONS has reviewed the classification of Big Society Trust following the revision of the company’s Articles of Association. ONS has considered the changes made in the Articles of Association and concluded that the residual controls that government had on BST have been removed. Big Society Trust is now classified as a private non-profit institution; as is the Big Society Foundation. Big Society Capital is now classified in the captive financial institutions and money lenders subsector (S.127). This decision is effective from January 2016.;;;;;;;
Benefits Agency;Local Government;S.1313;;;;;;;;;;;
Berkshire Young Musicians Trust;Public Non-Financial Corporation;S.11001;;;;;;;;;;;
Berneslai Homes Ltd;Goteborg;SE;Former Public Corporation;S.11001;1-Jul-13;May-14;;;;;;;
Betsi Cadwaladr University Health Board;ASKIM;SE;Central Government;S.1311;;;;;;;;;
Better Regulation Task Force;ASKIM;SE;Former Public Corporation;S.11001;;;;;;;;;
Bideford Port;Former Public Corporation;S.11001;;;;;;;;;;;
BIG Lottery Fund;ASKIM;SE;Local Government;S.1313;;;;;;;;;
Big Society Capital;GRENNA;SE;Former Public Corporation;S.11001;;;;;;;;;
Big Society Foundation;GRANNA;SE;Central Government;S.1311;1-Feb-12;Sep-12;;;;;;;
Big Society Trust;VIRSERUM;SE;Central Government;S.1311;1-Feb-12;Sep-12;;;;;;;
Biggin Hill Aerodrome;BOLLEBYGD;SE;Local Government;S.1313;;;;;;;;;
BIL Solutions Ltd - (s BNG / BNFL);BOLLEBYGD;SE;Former Public Corporation;S.11001;;;;;;;;;
Bio Products Laboratory Ltd;Former Public Financial Corporation;S.12201;1-Mar-14;Apr-14;;;;;;;;;
Biotechnology and Biological Sciences Research Council (The);BORAS;SE;Former Public Corporation;S.11001;;;;;;;;;
Birmingham Airport;ASKIM;SE;Local Government;S.1313;;;;;;;;;
Birmingham BRIS;VIRSERUM;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
Birmingham City Council;VIRSERUM;SE;Local Government;S.1313;;;;;;;;;
Birmingham Heartlands UDC;VIRSERUM;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
BIS (Postal Services Act 2011) B Company Limited;Local Government;S.1313;;;;;;;;;;;
BIS (Postal Services Act 2011) Company Limited;Local Government;S.1313;;;;;;;;;;;
Blaby District Council;Local Government;S.1313;;;;;;;;;;;
Black Country Development Corporation;ASKIM;SE;Local Government;S.1313;;;;;;;;;
Black Horse Ltd;NESSJO;SE;Local Government;S.1313;;;;;;;;;
Blackburn Borough Transport;Local Government;S.1313;;;;;;;;;;;
Blackburn with Darwen Borough Council;Local Government;S.1313;;;;;;;;;;;
Blackpool Airport Ltd;Public Non-Financial Corporation;S.11001;;;;;;;;;;;
Blackpool Challenge Partnership Ltd;Local Government;S.1313;;;;;;;;;;;
Blackpool Coastal Housing Ltd;Public Non-Financial Corporation;S.11001;;;;;;;;;;;
Blackpool Council;Askim;SE;Former Public Corporation;S.11001;;;;;;;;;
Blackpool Fylde and Wyre Society for the Blind, The;Styrso;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
Blackpool Grand Theatre (Arts and Entertainment) Ltd;Styrso;SE;Former Public Corporation;S.11001;;;;;;;;;
Blackpool Grand Theatre Catering Ltd;Stockholm;SE;Former Public Corporation;S.11001;1-Dec-09;Jan-13;;;;;;;
Blackpool Grand Theatre Trust Ltd;GOTEBORG;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
Blackpool Operating Company Ltd;Former Public Corporation;S.11001;;;;;;;;;;;
Blackpool Town Centre Forum Ltd;g.co/HelpPay#;IE;Public Non-Financial Corporation;S.11001;;;;;;;;;
Blackpool Transport Services Ltd;VESTRA FROLUN;SE;Central Government;S.1311;;;;;;;;;
Blaenau Gwent County Borough Council;ASKIM;SE;Central Government;S.1311;;;;;;;;;
Blyth Harbour Commissioners;ASKIM;SE;Local Government;S.1313;;;;;;;;;
Blyth Valley Housing Ltd;VESTRA FROLUN;SE;Local Government;S.1313;;;;;;;;;
BNFL (IP) Ltd (s. BNFL);Former Public Corporation;S.11001;1-Mar-11;Jul-13;;;;;;;;;
BNFL Engineering Ltd - (s BNFL);DUBLIN;IE;Local Government;S.1313;;;;;;;;;
BNFL Enrichment Ltd - (BNFL);NESSJO;SE;Former Public Corporation;S.11001;17-Jun-05;Sep-13;;;;;;;
BNFL Enterprise - (s BNG / BNFL);JÖNKÖPING;SE;Central Government;S.1311;;;;;;;;;
BNFL Interim Storage Ltd - (s BNFL);VIRSERUM;SE;Local Government;S.1313;;;;;;;;;
BNFL Properties Limited - (s BNG / BNFL);VIRSERUM;SE;Local Government;S.1313;;;;;;;;;
Boards of Visitors and Visiting Committees (Northern Ireland);JONKOPING;SE;Local Government;S.1313;;;;;;;;;
Boards of Visitors to Penal Establishments;OSKARSHAMN;SE;Local Government;S.1313;;;;;;;;;
Bognor Regis Ltd;Public Non-Financial Corporation;S.11001;;;;;;;;;;;
Bolsover District Council;Central Government;S.1311;;;;;;;;;;;
Bolton at Home Ltd;MSBILL.INFO;IE;Central Government;S.1311;;;;;;;;;
Bolton Council;VESTRA FROLUN;SE;Former Central Government;S.1311;;;;;;;;;
Booth & Fisher (Motor Services) Ltd - (s SYPTE);ASKIM;SE;Public Non-Financial Corporation/Public Non-Financial Corporation (see notes in tab);S.11001/3;1-Feb-13;Jun-15;;;;;;;
Bòrd na Gàidhlig;Public Non-Financial Corporation/Public Non-Financial Corporation (see notes in tab);S.11001/3;1-Feb-13;Jun-15;;;;;;;;;
Borough of Broxbourne;ASKIM;SE;Local Government;S.1313;;;;;;;;;
Borough of Poole;ASKIM;SE;Public Non-Financial Corporation/Public Non-Financial Corporation (see notes in tab);S.11001/3;1-Feb-13;Jun-15;;;;;;;
Boston Borough Council;VASTRA FROLUN;SE;Former Public Corporation;S.11001;;;;;;;;;
Boston Port;ASKIM;SE;Former Public Corporation;S.11001;;;;;;;;;
Botanics Trading Company Ltd;GOTEBORG;SE;Central Government;S.1311;;;;;;;;;
Boundary Commission for Northern Ireland;ASKIM;SE;Former Public Corporation;S.11001;1-Jul-13;May-14;;;;;;;
Boundary Commission for Scotland;ASKIM;SE;Former Public Corporation;S.11001;;;;;;;;;
Boundary Committee for England;VESTRA FROLUN;SE;Former Central Government;S.1311;;;;;;;;;
Bournemouth Airport Property Investments (Industrial) Ltd;ASKIM;SE;Local Government;S.1313;;;;;;;;;
Bournemouth Airport Property Investments (Offices) Ltd;Public Pension Fund;S.12901;29-Sep-08;Feb-16;Bradford & Bingley plc is a public limited company and primarily operates as a servicer of mortgage loans secured on residential properties and of associated services. Following the financial crisis it transferred into public ownership and is currently classified in Central Government. Bradford & Bingley and its subsidiaries operated a defined benefit pension scheme; which entered into a Crown Guarantee on 29 September 2008. ONS assessed the Bradford & Bingley crown guarantee arrangement in accordance with internationally agreed rules in the European System of Accounts 2010 (ESA 2010) and accompanying Manual on Government Deficit and Debt 2014 (MGDD 2014). ONS concluded that (i) the Bradford & Bingley Pension Scheme was the pension administrator in the public pension fund (S.12901) and (ii) HM Treasury was the scheme’s pensioner manager in the central government subsector (S.1311). This means any difference between the pension entitlements and the assets held by the Scheme will be attributed to the central government subsector as an asset/liability.;;;;;;;
Bournemouth Borough Council;Central Government;S.1311;1-Jul-10;Sep-12;;;;;;;;;
Bournemouth International Airport Ltd (s MA);ASKIM;SE;Central Government;S.1311;1-Apr-10;May-12;;;;;;;
Bournemouth Transport Ltd;ASKIM;SE;Local Government;S.1313;;;;;;;;;
BPE Mechanical and Electrical Engineering Consultancy;ASKIM;SE;Local Government;S.1313;;;;;;;;;
BPEX Ltd;Stockholm;SE;Former Public Corporation;S.11001;;;Created in 2001 as a limited company wholly owned by DfT to manage the majority of the remaining property; rights and liabilities of the British Railways Board. The body was abolished in September 2013 using powers from the Public Bodies Act 2011.;;;;;
BPL Holdings Ltd (Formerly Plasma Resources UK Ltd);20790637;NL;Local Government;S.1313;;;;;;;;;
BR Property Board (s BRB);Stockholm;SE;Local Government;S.1313;1-Nov-95;Sep-12;;;;;;;
Bracknell - (s NTC);London;GB;Local Government;S.1313;;;;;;;;;
Bracknell Forest Borough Council;MOLNDAL;SE;Local Government;S.1313;;;;;;;;;
Bradford & Bingley Pension Scheme;Public Non-Financial Corporation;S.11001;;;;;;;;;;;
Bradford & Bingley plc;Vastra Frolun;SE;Local Government;S.1313;;;;;;;;;
Bradford Film Limited;VASTRA FROLUN;SE;Local Government;S.1313;;;;;;;;;
Bradford Metropolitan District Council;ASKIM;SE;Former Public Corporation;S.11001;;;;;;;;;
Braintree District Council;Vastra Frolun;SE;Former Public Corporation;S.11001;;;;;;;;;
BRB (Residuary) Ltd.;ASKIM;SE;Local Government;S.1313;;;;;;;;;
Breckland Council;ASKIM;SE;Former Public Corporation;S.11001;;;;;;;;;
Brecon Beacons National Park Authority;VESTRA FROLUN;SE;Local Government;S.1313;;;;;;;;;
Brentwood Borough Council;Former Central Government;S.1311;1-Feb-15;Mar-15;;;;;;;;;
Bridgend County Borough Council;Former Public Corporation;S.11001;;;;;;;;;;;
Bridlington Pier and Harbour Commissioners;Former Public Corporation;S.11001;;;;;;;;;;;
Bridport Port;ASKIM;SE;Central Government;S.1311;;;;;;;;;
Brighton and Hove City Council;Askim;SE;Former Central Government;S.1311;;;;;;;;;
Brighton Buses Ltd;Former Central Government;S.1311;;;;;;;;;;;
Bristol Airport;Central Government;S.1311;;;;;;;;;;;
Bristol City Council;ASKIM;SE;Central Government;S.1311;1-Jul-13;May-15;;;;;;;
Bristol Development Corporation;ASKIM;SE;Former Public Corporation;S.11001;;;;;;;;;
Bristol Port;London;GB;Former Public Corporation;S.11001;;;;;;;;;
Bristol, Gloucestershire, Somerset & Wiltshire Community Rehabilitation Company (CRC);Public Pension Fund;S.12901;31-Oct-94;Apr-16;The British Coal Staff Superannuation Scheme provides pensions and other benefits to former employees of the British Coal Corporation under a defined benefit scheme. The Scheme entered into a Crown Guarantee on 31 October 1994.  It was closed to new members at the end of October 1994 following the privatisation of the British Coal Corporation.  ONS assessed the  British Coal Corporation crown guarantee arrangement in accordance with internationally agreed rules in the European System of Accounts 2010 (ESA 2010) and accompanying Manual on Government Deficit and Debt 2014 (MGDD 2014). ONS concluded that (i) the British Coal Staff Superannuation Scheme was the pension administrator in the public pension fund subsector (S.12901) and (ii) the Secretary of State for the Department for Energy and Climate Change was the pension manager in the central government subsector (S.1311). This means any difference between the pension entitlements and the assets held by the Scheme will be attributed to the central government subsector as an asset/liability.;;;;;;;;
British Airports Authority;ASKIM;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
British Airways;Former Central Government;S.1311;1-Mar-11;Sep-11;;;;;;;;;
British Antarctic Survey;Former Public Corporation;S.11001;;;;;;;;;;;
British Association for Central & Eastern Europe;VESTRA FROLUN;SE;Former Public Corporation;S.11001;;;;;;;;;
British Board of Agrement;Former Public Corporation;S.11001;;;;;;;;;;;
British Broadcasting Corporation - (BBC);Central Government;S.1311;;;;;;;;;;;
British Business Bank PLC;Central Government;S.1311;;;;;;;;;;;
British Coal (Mines);Stockholm;SE;Former Central Government;S.1311;1-Apr-07;Mar-11;;;;;;;
British Coal Corporation;VASTRA FROLUN;SE;Former Public Corporation;S.11001;;;;;;;;;
British Coal Staff Superannuation Scheme;Former Public Corporation;S.11001;1-Dec-07;Aug-11;;;;;;;;;
British Council;Former Public Corporation;S.11001;1-Jan-02;Aug-11;;;;;;;;;
British Educational Communications and Technology Agency (BECTA);Former Public Corporation;S.11001;;;;;;;;;;;
British Electricity Authority;Central Government;S.1311;;;;;;;;;;;
British Energy;Former Central Government;S.1311;;;;;;;;;;;
British European Airways;ASKIM;SE;Central Government;S.1311;27-May-05;Feb-12;;;;;;;
British Film Commission;ASKIM;SE;Central Government;S.1311;;;;;;;;;
British Film Institute;VESTRA FROLUN;SE;Central Government;S.1311;;;;;;;;;
British Forces Post Office;Public Non-Financial Corporation;S.11001;;;;;;;;;;;
British Fuels;Former Public Corporation;S.11001;;;;;;;;;;;
British Fuels (Ireland) Ltd;ASKIM;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
British Fuels Distributors Ltd;msbill.info;IE;Public Non-Financial Corporation;S.11001;;;;;;;;;
British Gas;VESTRA FROLUN;SE;Former Public Corporation;S.11001;;;;;;;;;
British Geological Survey;VASTRA FROLUN;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
British Government Panel on Sustainable Development;ASKIM;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
British Hallmarking Council;ASKIM;SE;Former Central Government;S.1311;;;;;;;;;
British Library;VESTRA FROLUN;SE;Central Government;S.1311;;;;;;;;;
British Museum;VESTRA FROLUN;SE;Former Central Government;S.1311;;;;;;;;;
British Museum Company Ltd;ASKIM;SE;Former Public Corporation;S.11001;;;;;;;;;
British National Oil Company;ASKIM;SE;Public Non-MMF Investment Funds;S.12401;2-May-85;Feb-16;British Screen Finance Limited (BSFL) is an institutional unit engaged in financial activity. It was classified by the ONS in 2005 as a public corporation. At the time ONS did not distinguish between public financial corporations and public non-financial corporations.  Its parent is the British Film Institute which is classified as a central government unit. ONS formally reviewed the classification of the body; to see whether under European System of Accounts 2010 (ESA 2010) and accompanying Manual on Government Deficit and Debt 2014 (MGDD 2014) it should be classified as a public financial corporation or a central government body. It was concluded that it was a public financial corporation with effect from 1985.;;;;;
British Nuclear Fuels plc (BNFL);Former Central Government;S.1311;1-Mar-12;Apr-13;;;;;;;;;
British Nuclear Group Ltd. (s. BNFL);Former Central Government;S.1311;;;;;;;;;;;
British Nuclear Group Project Services Ltd. (s. BNG / BNFL);ASKIM;SE;Former Central Government;S.1311;;;;;;;;;
British Nuclear Group Sellafield Ltd. (s. BNG / BNFL);Central Government;S.1311;;;;;;;;;;;
British Nuclear Services Ltd. (s. BNG / BNFL);VASTRA FROLUN;SE;Former Public Corporation;S.11001;;;;;;;;;
British Overseas Trade Board;ASKIM;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
British Pharmacopoeia Commission;ASKIM;SE;Public Non-Financial Corporation;S.11001;11-May-05;Sep-10;;;;;;;
British Potato Council;VESTRA FROLUN;SE;Local Government;S.1313;;;;;;;;;
British Railways Board - (BRB);VÄSTRA FRÖLUN;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
British Screen Finance Limited;VASTRA FROLUN;SE;Former Central Government;S.1311;;;;;;;;;
British Shipbuilders;Former Public Corporation;S.11001;;;;;;;;;;;
British Tourist Authority;Former Central Government;S.1311;;;;;;;;;;;
British Transport Police (sSRA);GÖTEBORG;SE;Local Government;S.1313;;;;;;;;;
British Transport Police Authority;GOTEBORG;SE;Former Central Government;S.1311;;;;;;;;;
